Enter strings...
Found         MAIN: 	TokenID =   1	TokenTypeID = 23	lexeme = main
Found    SEPARATOR: 	TokenID =   2	TokenTypeID = 13	lexeme = (
Found    SEPARATOR: 	TokenID =   3	TokenTypeID = 14	lexeme = )
Found    SEPARATOR: 	TokenID =   4	TokenTypeID = 15	lexeme = {
Found     DATATYPE: 	TokenID =   5	TokenTypeID = 17	lexeme = int
Found   IDENTIFIER: 	TokenID =   6	TokenTypeID = 27	lexeme = i
Found        RELOP: 	TokenID =   7	TokenTypeID =  5	lexeme = =
Found       NUMBER: 	TokenID =   8	TokenTypeID = 26	lexeme = 0
Found    SEPARATOR: 	TokenID =   9	TokenTypeID = 11	lexeme = ;
Found     DATATYPE: 	TokenID =  10	TokenTypeID = 17	lexeme = int
Found   IDENTIFIER: 	TokenID =  11	TokenTypeID = 27	lexeme = n
Found        RELOP: 	TokenID =  12	TokenTypeID =  5	lexeme = =
Found       NUMBER: 	TokenID =  13	TokenTypeID = 26	lexeme = 10
Found    SEPARATOR: 	TokenID =  14	TokenTypeID = 11	lexeme = ;
Found     DATATYPE: 	TokenID =  15	TokenTypeID = 17	lexeme = int
Found   IDENTIFIER: 	TokenID =  16	TokenTypeID = 27	lexeme = sum
Found        RELOP: 	TokenID =  17	TokenTypeID =  5	lexeme = =
Found       NUMBER: 	TokenID =  18	TokenTypeID = 26	lexeme = 0
Found    SEPARATOR: 	TokenID =  19	TokenTypeID = 11	lexeme = ;
Found     DATATYPE: 	TokenID =  20	TokenTypeID = 18	lexeme = float
Found   IDENTIFIER: 	TokenID =  21	TokenTypeID = 27	lexeme = op
Found        RELOP: 	TokenID =  22	TokenTypeID =  5	lexeme = =
Found       NUMBER: 	TokenID =  23	TokenTypeID = 26	lexeme = 1.5
Found    SEPARATOR: 	TokenID =  24	TokenTypeID = 11	lexeme = ;
Found  CONDITIONAL: 	TokenID =  25	TokenTypeID = 24	lexeme = if
Found    SEPARATOR: 	TokenID =  26	TokenTypeID = 13	lexeme = (
